BALA	43	a.,ağz.	► yavru
İARE	33	a.,esk.	► ödünç
RİNA	32	a.,hay. b.	► tırpana
ABRA	31	a.,ağz.	► dara
NATO	25	sf.	"Söz dinlemez, söz anlamaz, taş gibi kafa" anlamlarındaki nato kafa, nato mermer deyiminde geçen bir söz
AKAK	24	a.,coğ.	► yatak
JALE	23	a.,esk.	► çiy
ANİF	21	sf.,esk.	► kaba
KEKE	21	sf.,ağz.	► kekeme
NİSA	21	a.,esk.	► kadın
RAMİ	21	a.,bit. b.	Isırgangillerden, Çin, Vietnam ve Malezya'da yetişen değerli bir bitki (Boehmeria nivea)
AMOR	20	a.	► aşk
ELAN	20	zf.,esk.	Şu anda bile
EMAY	20	a.	Bazı maddeleri korumak, belirli bir parlaklık kazandırmak veya boyamak için kullanılan, saydam veya donuk cama benzeyen cila
ASAR	19	a.,esk.	Eserler
İNAL	19	a.	Kendisine inanılan kimse
İVAZ	18	a.,esk.	► ödün
REHA	18	a.,esk.	► kurtuluş
SAKO	18	a.,esk.	Paltoya benzer bir tür üstlük
AFAT	17	a.,esk.	Afetler
BANİ	17	sf.,esk.	► kurucu
GETR	17	a.	Bacağın alt bölümünü ve ayakkabının üstünü örten kumaş veya köseleden yapılmış bir tozluk türü
İSAL	17	a.,esk.	► ulaştırma
OKAR	17	a.,hay. b.	► telli balıkçıl
TAYA	17	a.,esk.	► dadı
İHAM	16	a.,esk.	Kuruntuya düşürme
LAİN	16	sf.,esk.	► lanetli
ONAT	16	sf.,esk.	Özenli, düzgün, uygun olan
FUTA	15	a.,den.	Dar, uzun ve hafif bir yarış kayığı; kik
LAŞE	15	a.,esk.	► leş
MUTA	15	a.,esk.	► veri
AMAL	14	a.,esk.	İşler, işlemler
BİBİ	14	a.,ağz.	► hala
EBET	14	a.	Sonu olmayan gelecek zaman; sonsuzluk
ENİR	14	a.,bit. b.	Bir tür yaban mersini
İŞAR	14	a.,esk.	Yazı ile bildirme
RAŞE	14	a.,esk.	Titreyiş, ürkme
FOŞA	13	a.,bit. b.	Tombul fındık grubunda standart bir tür fındık
İMİK	13	a.	► gırtlak
KELE	13	a.,ağz.	► boğa
LUTR	13	a.,hay. b.	► su samuru
MASK	13	a.	Genellikle ölünün yüzüne uygulanarak elde edilen yüz kalıbı
SENA	13	a.,esk.	► övme
KAİL	12	sf.,esk.	Söyleyen
KANT	12	a.	Şeker ve limonla içilen sıcak su
NAAT	12	a.,esk.	Bir şeyin niteliklerini övme
NAFİ	12	sf.,esk.	► yararlı
TABL	12	a.,esk.	► davul
ABAK	11	a.	Eski Türklerde ölmüş kimselerin heykel vb. suretleri
ANUT	11	sf.,esk.	► inatçı
APAZ	11	a.,ağz.	► avuç
ECİR	11	a.,esk.	► sevap
İNAM	11	a.,esk.	► emanet
RUHİ	11	sf.	► ruhsal
SAVA	11	ağz.	► muştu
SİLİ	11	a.	Kilim, yünden dokunmuş yaygı
TAMU	11	a.,esk.,din b.	► cehennem
CEBE	10	a.,esk.	► zırh (I)
DEST	10	a.	► el (I)
DEYİ	10	a.,dil b.	Dil, söz, işaret, mimik vb. anlatım araçlarının bütünü; logos
EMİK	10	a.,ağz.	Emilmekten çürüyen yer
ENİN	10	a.	► inilti
EVİN	10	a.,ağz.	Bir şeyin içindeki öz; lüp
LİET	10	a.,müz.	► şarkı
MARN	10	a.,mdn.	Çok ince taneli kil minerallerinden ve kalsitin değişik oranlardaki karışımından oluşan tortul kayaç
RUAM	10	a.,esk.,hay. b.	► sakağı
ÇUKA	9	a.,hay. b.	Akdeniz, Marmara ve Karadeniz'de yaşayan tekirlerin irisi
DANE	9	a.	► kuş yemi
ELİK	9	a.,ağz.	► dağ keçisi
ENEK	9	sf.,ağz.	İğdiş edilmiş
İTFA	9	a.,esk.	► söndürme
ATEH	8	a.,esk.,tıp	► bunama
EMME	8	a.	Emmek işi
EMMİ	8	a.,ağz.	► amca
GEDA	8	sf.,esk.	► dilenci
İSLİ	8	sf.	İsi olan, islenmiş, is bulaşmış
KEME	8	a.,ağz.	Büyük sıçan
MAİN	8	a.,esk.,geom.	► eşkenar dörtgen
MERİ	8	sf.,huk.	► geçerli
ÜTME	8	a.	Ütmek işi
AÇAR	7	a.	► anahtar
AKSE	7	a.,tıp	► kriz
ARAZ	7	a.,fel.	► ilinek
İCMA	7	a.,esk.	► toplama
KALA	7	zf.	Kaldığında
KİLS	7	a.,esk.,min.	► kireç taşı
ONAR	7	sf.	On sayısının üleştirme sayı sıfatı
RUBA	7	a.,esk.	► giysi
SKİF	7	a.,den.	İçine yalnız kürek çekenin girebildiği çok uzun ve çok dar yarış kayığı
UFKİ	7	sf.,esk.,mat.	► yatay
ÜRAT	7	a.,kim.	Sidik asidi tuzu
VECA	7	a.,esk.	► ağrı
YEME	7	a.	Yemek işi
YUNA	7	a.,ağz.	► belleme (II)
ÇAÇA	6	a.	Ticaret gemilerinde eski ve usta gemici
ERİN	6	sf.	► ergen
GALİ	6	a.,den.	Alçak ve altı düz gemi
GİNE	6	zf.,ağz.	► yine
HASA	6	a.	Patiska
ITRİ	6	sf.,esk.	► ıtırlı
KEKA	6	ünl.	Keyifli bir durum anlatılırken "ne güzel, ne iyi" anlamlarında söylenen bir söz
LAZA	6	a.,ağz.	Bal koymaya yarayan küçük tekne
NİTE	6	zf.,esk.	► nasıl
ÖNEL	6	a.,huk.	► mehil
UMMA	6	a.	Ummak işi
URBA	6	a.,ağz.	► giysi
ÜREM	6	a.,ekon.	► faiz
YONT	6	a.,ağz.	Başıboş hayvan
YUMA	6	a.	► yıkama
ADEM	5	a.,esk.	► yokluk
AGEL	5	a.	Arap erkeklerinin kefiyelerinin üzerine bağladıkları, yünden örülmüş kalın çember bağ
ALMA	5	a.	Almak işi; ahzetme, ittihaz, kabız
ARDA	5	a.,ağz.	İşaret olarak yere dikilen çubuk
BADİ	5	a.,ağz.	► ördek
BREŞ	5	a.,jeol.	Doğal çimento ile lavlı, kavkılı, kabuklu, kemikli kırıntıların kaynaşmasıyla oluşmuş kütle
CANA	5	ünl.,esk.	"Ey sevgili" anlamında kullanılan bir seslenme sözü
DONE	5	a.	► veri
EDNA	5	sf.,esk.	Çok aşağı, en alt düzeyde
FAİK	5	sf.,esk.	► üstün (I)
