LAKA	23	a.	Yol üzerinde oluşan çukur
YABA	22	a.	Harman savurmakta kullanılan, çatal biçiminde, tahtadan tarım aracı
JÜRİ	18	a.	► seçiciler kurulu
TAKA	18	a.,den.	Doğu Karadeniz Bölgesi'ne özgü yelkenli bir tür kıyı teknesi
AHAR	15	a.	Hattatların kâğıt cilalamak için kullandıkları nişasta ve yumurta akından yapılan özel bir karışım
DATA	13	a.	► veri
EKTİ	13	sf.	Her yiyeceği canı çeken
JANR	12	a.	► tarz
JİLE	11	a.	Kadınların genellikle bluz üzerine giydikleri kolsuz elbise
LARP	11	zf.	► ansızın
OKAR	10	a.,hay. b.	► telli balıkçıl
RİKA	10	a.	Arap harflerinin en çok kullanılan el yazısı biçimi
STAR	10	a.	► yıldız
ÇUKA	9	a.,hay. b.	Akdeniz, Marmara ve Karadeniz'de yaşayan tekirlerin irisi
ORSA	9	a.,den.	Yelkenleri rüzgârın estiği yöne çevirmekte kullanılan, her iki taraftan yelkenin ortasına bağlanan ip
PAHA	9	a.	► fiyat
PAKT	9	a.	► antlaşma
SABA	9	a.,müz.	Klasik Türk müziğinde bir birleşik makam
ÜNLÜ	9	sf.	Herkesçe bilinen, ün salmış olan; angın, adlı sanlı, anlı şanlı, şöhretli, tanınmış, meşhur, şanlı, namlı (I), namdar
VİRA	9	zf.	► aralıksız
FAAL	8	sf.	► etkin
GATO	8	a.	► pasta (I)
İDEA	8	a.	► düşünce
İNAK	8	a.,fel.	► dogma
MANA	8	a.,dil b.	► anlam
SALA	8	a.	343 sela
YEKE	8	a.,den.	Kayıkta dümeni kullanmak için dümenin baş tarafına takılan kol
AKAÇ	7	a.	Bir yerde birikip kalan sıvıları, bir işlem sonunda geriye kalan artıkları, gereksiz nesneleri dışarıya akıtmak için kullanılan boru vb. araç
AKAK	7	a.,coğ.	► yatak
CHAT	7	a.	343 sanal sohbet
ODAK	7	a.,fiz.	Bir ışık veya ısı kaynağından yayılan ışınların bir mercekten geçtikten veya çukur bir aynadan yansıdıktan sonra toplandığı yer; mihrak, fokus
ÖBEK	7	a.	► küme
RAMİ	7	a.,bit. b.	Isırgangillerden, Çin, Vietnam ve Malezya'da yetişen değerli bir bitki (Boehmeria nivea)
RATE	7	sf.	► başarısız
RİNA	7	a.,hay. b.	► tırpana
