BALA	43	a.,ağz.	► yavru
CAKA	33	a.,argo	► gösteriş
İARE	33	a.,esk.	► ödünç
NAME	33	a.,esk.	► mektup
TALİ	32	sf.,esk.	► ikincil
ABRA	31	a.,ağz.	► dara
NAAŞ	28	a.,esk.	► ceset
LİME	27	a.,esk.	► parça
AKİM	25	sf.,esk.	► verimsiz
JALE	23	a.,esk.	► çiy
ANİF	21	sf.,esk.	► kaba
KEKE	21	sf.,ağz.	► kekeme
NİSA	21	a.,esk.	► kadın
ELAN	20	zf.,esk.	Şu anda bile
ASAR	19	a.,esk.	Eserler
AKİL	18	sf.,esk.	► akıllı
İVAZ	18	a.,esk.	► ödün
REHA	18	a.,esk.	► kurtuluş
SAKO	18	a.,esk.	Paltoya benzer bir tür üstlük
AFAT	17	a.,esk.	Afetler
BANİ	17	sf.,esk.	► kurucu
İSAL	17	a.,esk.	► ulaştırma
TAYA	17	a.,esk.	► dadı
İHAM	16	a.,esk.	Kuruntuya düşürme
LAİN	16	sf.,esk.	► lanetli
ONAT	16	sf.,esk.	Özenli, düzgün, uygun olan
LAŞE	15	a.,esk.	► leş
MUTA	15	a.,esk.	► veri
AMAL	14	a.,esk.	İşler, işlemler
BİBİ	14	a.,ağz.	► hala
İŞAR	14	a.,esk.	Yazı ile bildirme
RAŞE	14	a.,esk.	Titreyiş, ürkme
FEZA	13	a.,esk.,gök b.	► uzay
KELE	13	a.,ağz.	► boğa
SENA	13	a.,esk.	► övme
ASRİ	12	sf.,esk.	► çağdaş
KAİL	12	sf.,esk.	Söyleyen
NAAT	12	a.,esk.	Bir şeyin niteliklerini övme
NAFİ	12	sf.,esk.	► yararlı
TABL	12	a.,esk.	► davul
ANUT	11	sf.,esk.	► inatçı
APAZ	11	a.,ağz.	► avuç
BEİS	11	a.,esk.	► sakınca
ECİR	11	a.,esk.	► sevap
İNAM	11	a.,esk.	► emanet
İZAN	11	a.,esk.	► anlayış
LİNK	11	a.,ağz.	Atın eşkin yürüyüşü
SAVA	11	ağz.	► muştu
TAMU	11	a.,esk.,din b.	► cehennem
CEBE	10	a.,esk.	► zırh (I)
EMİK	10	a.,ağz.	Emilmekten çürüyen yer
EVİN	10	a.,ağz.	Bir şeyin içindeki öz; lüp
RUAM	10	a.,esk.,hay. b.	► sakağı
ELİK	9	a.,ağz.	► dağ keçisi
ENEK	9	sf.,ağz.	İğdiş edilmiş
İTFA	9	a.,esk.	► söndürme
ATEH	8	a.,esk.,tıp	► bunama
EMME	8	a.	Emmek işi
EMMİ	8	a.,ağz.	► amca
GEDA	8	sf.,esk.	► dilenci
KEME	8	a.,ağz.	Büyük sıçan
MAİN	8	a.,esk.,geom.	► eşkenar dörtgen
ÜTME	8	a.	Ütmek işi
İCMA	7	a.,esk.	► toplama
KİLS	7	a.,esk.,min.	► kireç taşı
RUBA	7	a.,esk.	► giysi
UFKİ	7	sf.,esk.,mat.	► yatay
VECA	7	a.,esk.	► ağrı
YEME	7	a.	Yemek işi
YUNA	7	a.,ağz.	► belleme (II)
GİNE	6	zf.,ağz.	► yine
ITRİ	6	sf.,esk.	► ıtırlı
LAZA	6	a.,ağz.	Bal koymaya yarayan küçük tekne
NİTE	6	zf.,esk.	► nasıl
ŞARK	6	a.,esk.,coğ.	► doğu
UMMA	6	a.	Ummak işi
URBA	6	a.,ağz.	► giysi
YONT	6	a.,ağz.	Başıboş hayvan
ADEM	5	a.,esk.	► yokluk
ALMA	5	a.	Almak işi; ahzetme, ittihaz, kabız
ARDA	5	a.,ağz.	İşaret olarak yere dikilen çubuk
BADİ	5	a.,ağz.	► ördek
CANA	5	ünl.,esk.	"Ey sevgili" anlamında kullanılan bir seslenme sözü
EDNA	5	sf.,esk.	Çok aşağı, en alt düzeyde
FAİK	5	sf.,esk.	► üstün (I)
GÜME	5	a.,ağz.	Avcı kulübesi
HONA	5	a.,ağz.	Erkek sığır
İZAÇ	5	a.,esk.	Bunaltma, tedirgin etme, baş ağrıtma, can sıkma
LİKA	5	a.,esk.	Mürekkep hokkalarına konulan ham ipek
LİVA	5	a.,esk.	► sancak
OĞUZ	5	sf.,ağz.	İyi huylu (kimse)
ÖLET	5	a.,ağz.	► kıran (I)
ŞENİ	5	sf.,esk.	Kötü, çirkin, alçakça, utanç verici
ŞİTA	5	a.,esk.	► kış (I)
UĞRA	5	a.,ağz.	Yufka açılırken hamurun tahtaya yapışmaması için serpilen kalın un
URAY	5	a.,esk.	► belediye
URUK	5	a.,esk.	► soy
AYAL	4	a.,esk.	Bir erkeğin eşi, hanımı
DENİ	4	sf.,esk.	Alçak, kötü, kişiliksiz (kimse)
EDİK	4	a.,ağz.	Yumuşak ve renkli sahtiyandan yapılmış yarım konçlu bir tür ayakkabı; lapçın
EHEM	4	sf.,esk.	Çok önemli
IŞKI	4	a.,ağz.	Derilerin fazlalıklarını ve yağlarını kazımak ve tahtaları yontmak için kullanılan iki ucu saplı, eğri bıçak
İCAR	4	a.,esk.	► kira
İPKA	4	a.,esk.,huk.	Yerinde, önceki durumunda bırakma
LODA	4	a.,ağz.	Taneli veya tanesiz saman yığını
OKRA	4	a.,ağz.	Zayıf düşmüş hayvanların derilerinin altında yaşayan ve hastalanmalarına yol açan bir tür kurtçuk
TAUN	4	a.,esk.,tıp	► veba
YAĞI	4	a.,esk.	► düşman
ABUS	3	sf.,esk.	► somurtkan
AFAK	3	a.,esk.	Ufuklar
AĞIŞ	3	a.	Ağmak işi
ANAT	3	a.,esk.	Anlar, zamanlar
BİŞİ	3	a.,ağz.	► pişi
ENEZ	3	sf.,ağz.	Hantal, vurdumduymaz olan
ESİK	3	a.,ağz.	Çukur yer
ETEN	3	a.,ağz.	► döl eşi
IRKİ	3	sf.,esk.	Irkla ilgili; ırksal
SATI	3	a.,ağz.	Satmak işi; satış
UYMA	3	a.	Uymak işi
AFİF	2	sf.,esk.	► iffetli (erkek)
AKSU	2	a.,ağz.	► katarakt
AKUR	2	sf.,esk.	Azgın, şiddetli olan
ALAZ	2	a.,ağz.	► alev (I)
ALİL	2	sf.,esk.	► hasta
AZMA	2	a.	Azmak işi
CELİ	2	sf.,esk.	Açık, aşikâr olan
CÜDA	2	sf.,esk.	Yurt, baba ocağı gibi çok sevilen şeylerden ayrılmış olan, uzak kalmış olan
DİDE	2	a.,esk.	► göz
EĞİR	2	a.,ağz.	Arıların çıkardığı bir salgı türü
ELİM	2	sf.,esk.	► acıklı
EŞME	2	a.	Eşmek işi
GUŞA	2	a.,esk.,tıp	► guatr
HARS	2	a.,esk.	Tarla sürme
HERK	2	a.,ağz.	Sürüldükten sonra bir yıl dinlendirilen, nadasa bırakılan tarla
İŞBA	2	a.,esk.	Karnını doyurma
İZAM	2	a.,esk.	► yollama
İZAZ	2	a.,esk.	► ağırlama
NAŞİ	2	e.,esk.	► ötürü
ÖREK	2	a.,ağz.	► duvar
RACİ	2	sf.,esk.	Geri dönen
SOKU	2	a.,ağz.	Taştan yapılmış dibek
SOTA	2	sf.,argo	Uygun, elverişli (yer)
ŞUFA	2	a.,esk.,huk.	► ön alım
ZADE	2	a.,esk.	► oğul
AŞIT	1	a.,ağz.	Kuytu yer
ATAR	1	a.,argo	Birisine karşı veya bir olay karşısında korkusuzca bulunulan güç gösterisi
BATİ	1	sf.,esk.	Yavaş hareketli
CİFE	1	a.,esk.	► leş
DARU	1	a.,esk.	► ilaç
DAYE	1	a.,esk.	► dadı
DEME	1	a.	Demek işi; eyitme
ENVA	1	a.,esk.	Çeşitler
GACI	1	a.,argo	Çingeneler arasında kadın için kullanılan bir söz
İRCA	1	a.,esk.	Eski biçimine çevirme
KOÇU	1	a.,esk.	Süslü bir tür gezme arabası
KÖRE	1	a.,ağz.	► karınca yuvası
MANO	1	a.,argo	Kumar oynatan kişinin kazançtan aldığı pay
TULU	1	a.,esk.	Güneşin doğması, doğuşu
TÜRE	1	a.,esk.	► adalet
ULUM	1	a.,esk.	Bilimler, ilimler
VAHİ	1	sf.,esk.	► saçma
