ACEM	a.	İran’da yaşayan Fars kökenli kimse
ÂDEM	a.	Dinî inanışlara göre dünya üzerindeki ilk insan; Âdem Baba
AGOP	a.	"Aptal aptal bakmak" anlamındaki Agop'un kazı gibi bakmak, “eline geçeni yalayıp yutmak” anlamındaki Agop’un kazı gibi yutmak (veya yemek), “kara kara düşünmek” anlamındaki Agop’un kazı gibi düşünmek deyimlerinde geçen bir söz
AĞIN	a.	Elâzığ iline bağlı ilçelerden biri
AĞLI	a.	Kastamonu iline bağlı ilçelerden biri
AĞRI	a.	Türkiye'nin Doğu Anadolu Bölgesi'nde yer alan illerinden biri
AKSU	a.	Isparta iline bağlı ilçelerden biri
ALPU	a.	Eskişehir iline bağlı ilçelerden biri
AMME	a.,din b.	► Amme cüzü
AVAR	a.	Kuzeydoğu Kafkasya'da, Dağıstan Federe Cumhuriyeti'nde yaşayan halktan veya bu halkın soyundan olan kimse
AYAŞ	a.	Ankara iline bağlı ilçelerden biri
BABİ	a.,din b.	Babilik yanlısı
BALÂ	a.	Ankara iline bağlı ilçelerden biri
BİGA	a.	Çanakkale iline bağlı ilçelerden biri
BUCA	a.	İzmir iline bağlı ilçelerden biri
CEDİ	a.,esk.,gök b.	► Oğlak Burcu
CİDE	a.	Kastamonu iline bağlı ilçelerden biri
ÇİNE	a.	Aydın iline bağlı ilçelerden biri
DUMA	a.	Rus parlamentosunun alt kanadı
EĞİL	a.	Diyarbakır iline bağlı ilçelerden biri
EMET	a.	Kütahya iline bağlı ilçelerden biri
ENEZ	a.	Edirne iline bağlı ilçelerden biri
EROS	a.	Yunan mitolojisinde aşk tanrısının adı
ERUH	a.	Siirt iline bağlı ilçelerden biri
EŞME	a.	Uşak iline bağlı ilçelerden biri
FARS	a.	İran'ın güneybatısında yaşayan halk veya bu halkın soyundan olan kimse
FEKE	a.	Adana iline bağlı ilçelerden biri
FOÇA	a.	İzmir iline bağlı ilçelerden biri
FÜRS	a.,tar.	Eski Fars halkından olan kimse
GARP	a.	► Batı
GÖLE	a.	Ardahan iline bağlı ilçelerden biri
GREK	a.	Yunan uygarlığının MÖ 800 ile MÖ 323 yılları arasındaki antik döneminde yaşamış olan halk
GÜCE	a.	Giresun iline bağlı ilçelerden biri
HİNT	a.	Hindistan'da yaşayan halk veya bu halkın soyundan olan kimse
HOPA	a.	Artvin iline bağlı ilçelerden biri
HÜDA	a.	► Allah
HÜMA	a.	Başına konduğu kimseye mutluluk getirdiğine inanılan talih kuşu
İLİÇ	a.	Erzincan iline bağlı ilçelerden biri
KÂBE	a.,din b.	Mekke'de bulunan, Müslümanlarca kıble olarak kabul edilen, hac ve umre ibadeti yapılırken tavaf edilen kutsal yer
KAYI	a.,tar.	Oğuz Türklerinin yirmi dört boyundan biri
KİĞI	a.	Bingöl iline bağlı ilçelerden biri
KULA	a.	Manisa iline bağlı ilçelerden biri
KULU	a.	Konya iline bağlı ilçelerden biri
KÜRT	a.	Ön Asya'da yaşayan bir topluluk ve bu topluluktan olan kimse
LİCE	a.	Diyarbakır iline bağlı ilçelerden biri
MORS	a.	► Mors alfabesi
NAZİ	a.	Nazizm yanlısı olan kimse
OĞAN	a.,esk.,din b.	► Allah
OĞUZ	a.	Tarihte Selçuklu ve Osmanlı Devletlerini kurmuş, günümüzde Türkiye, Azerbaycan, Türkmenistan, İran ve başka ülkelerde yaşayan Türk halkı ve bu halkın soyundan olan kimse
OLTU	a.	Erzurum iline bağlı ilçelerden biri
PALU	a.	Elâzığ iline bağlı ilçelerden biri
SAMİ	a.	Güneybatı Asya ve Kuzey Afrika’da yaşayan ve Hz. Nuh’un oğlu Sâm’ın soyundan geldikleri kabul edilen kavimler topluluğu
SIRP	a.	Sırbistan’da yaşayan halk veya bu halkın soyundan olan kimse
SLAV	a.	Rus, Beyaz Rus, Ukraynalı, Leh, Sırp, Hırvat, Sloven, Bulgar, Slovak ve Çek halklarına dillerindeki yakınlık dolayısıyla verilen ortak ad; İslav
SOMA	a.	Manisa iline bağlı ilçelerden biri
SÖKE	a.	Aydın iline bağlı ilçelerden biri
ŞARK	a.	► Doğu
ŞİLE	a.	İstanbul iline bağlı ilçelerden biri
TUVA	a.	Rusya Federasyonu’na bağlı Tuva Özerk Cumhuriyeti’nde yaşayan Türk halkı ve bu halkın soyundan olan kimse
TÜRK	a.	Dünyanın çeşitli bölgelerinde yaşayan, Türkçenin değişik lehçelerini konuşan soy ve bu soydan olan kimse
ULAH	a.,esk.	Romanya'nın yerli halkına veya bu halkın soyundan olan kimselere Osmanlı Türklerinin verdiği ad
ULAŞ	a.	Sivas iline bağlı ilçelerden biri
URFA	a.	► Şanlıurfa
URLA	a.	İzmir iline bağlı ilçelerden biri
URUM	a.	Ukrayna Cumhuriyeti’nin Azak Denizi kıyılarında yaşayan Ortodoks Hristiyan bir Türk halkı ve bu halkın soyundan olan kimse
ÜNYE	a.	Ordu iline bağlı ilçelerden biri
YIVA	a.,tar.	Oğuz Türklerinin yirmi dört boyundan biri
ZARA	a.	Sivas iline bağlı ilçelerden biri
ZAZA	a.	Ön Asya'da yaşayan bir topluluk ve bu topluluktan olan kimse
ZİLE	a.	Tokat iline bağlı ilçelerden biri
