FOROZ	a.	Bir ağ atılışında çıkarılan balık miktarı
FORSA	a.	Gemilerde kürek çeken tutsak veya hükümlü kimse
FORSE	sf.	“Gücünü hissettirmek, güç uygulamak” anlamlarındaki forse etmek birleşik fiilinde geçen bir söz
FORTE	zf.,müz.	Güçlü bir biçimde (çalınmak)
FORUM	a.,tar.	Eski Romalılar zamanında, Roma'da ve diğer şehirlerde kamu işlerini konuşmak için halkın toplandığı alan
FORZA	a.	Güç, kudret
FOSİL	a.	Geçmiş yer bilimi zamanlarına ilişkin hayvanların ve bitkilerin, yer kabuğu kayaçları içindeki kalıntıları veya izleri; müstehase, taşıl
FRAPE	a.	Buzlu veya dondurulmuş olarak sunulan içki, meşrubat
FRESK	a.	Yaş duvar sıvası üzerine kireç suyunda eritilmiş madenî boyalarla resim yapma yöntemi
FREZE	a.,tek.	Tornacılıkta, bir deliğin ağzını genişletmeye yarayan çelik alet
FRİGO	a.	Dondurulmuş krema
FRİSA	a.	Tütsüleme suretiyle kurutulmuş ringa balığı
FUAYE	a.	► dinlenmelik
FUHUŞ	a.	İçinde bulunulan toplumun kurallarına uymayan bir biçimde bir veya birkaç kişiyle para karşılığında cinsel ilişkide bulunma
FUJER	a.,bit. b.	► eğrelti otu
FULAR	a.	Genellikle boyna bağlanan, bir tür ince ipek kumaş
FULYA	a.,bit. b.	Nergisgillerden, soğan köklü bir bitki; soğan çiçeği, zerrin (Narcissus jonquilla)
FUNDA	a.,bit. b.	► süpürge otu
FURYA	a.	Olağandan çok fazla bulunma durumu
FÜLÜS	a.,esk.	Bakır para
FÜNYE	a.	Barut vb. patlayıcı maddeleri ateşlemek için kullanılan kapsül
FÜSUN	a.,esk.	► büyü
FÜTUR	a.,esk.	Bezginliğin verdiği gevşeklik ve gayretsizlik
FÜZEN	a.	► kömür kalem
GABİN	a.,esk.	Alışverişte satın alınan mala ödenen karşılığın, malın değerinden çok fazla olması, alışverişte hile yapma
GABRO	a.,jeol.	Amfibol, piroksen, olivin vb. renkli minerallerden oluşan bir tür iri taneli kaya
GABYA	a.,den.	Ana direklerin üzerine sürülen çubuklar ve ana direklerin üstlerinde bulunan serenler
GADİR	a.,esk.	Haksızlık etme, zarar verme; gadirlik
GAFİL	sf.	► aymaz
GAFUR	sf.,din b.	Çok bağışlayıcı, merhamet eden ve bağışlayan (Tanrı)
GAİLE	a.	Sıkıntı, dert, keder, üzüntü
GAİTA	a.	İnsan dışkısı
GALAT	a.	Yanlış kelime veya söz
GALİP	sf.	Bir yarışma, karşılaşma, çatışma vb. sonunda yenen, üstün gelen, başarı kazanan
GALİZ	sf.	Kaba ve çirkin
GALON	a.	Anglosaksonların kullandığı yaklaşık dört buçuk litrelik bir tür ölçü birimi
GALOP	a.,sp.	At yarışında veya hazırlık çalışmasında atın yaptığı derece
GALOŞ	a.	Sağlık kurumları, müzeler vb. yerlerde özel bölümlere girerken ayakkabıya geçirilen ince ve şeffaf kılıf
GAMBA	a.,den.	İyi toplanmamış halat veya zincirlerde ortaya çıkan dolaşıklık
GAMET	a.,biy.	Erkek veya dişi üreme hücresi
GAMLI	sf.	► kaygılı
GAMZE	a.	Bazı insanların çenelerinde, yanaklarında doğal olarak bulunan özellikle güldüklerinde daha iyi görülen küçük çukur
GARAJ	a.	Otomobil vb. taşıtların konulduğu üstü örtülü yer; arabalık
GARAZ	a.	► kin
GARBİ	a.,esk.	► Batı
GARİP	sf.	Kimsesiz, zavallı olan
GAROZ	a.	Palamut ve toriğin iç organları
GASİL	a.,din b.	► ölü yıkama
GAŞİY	a.,esk.	► esrime
GAUSS	a.,fiz.	Manyetik alanın şiddet birimi
GAVOT	a.	Bir tür eski Fransız halk dansı
GÂVUR	a.,din b.	Dinsiz kimse
GAYDA	a.,müz.	Kamıştan yapılmış çift düdük ve tulumdan oluşan, tiz sesli, nefesli, İskoçların millî çalgısı
GAYET	zf.	Pek, çok, pek çok, aşırı bir biçimde
GAYRI	e.	► başka
